HE provider,Continuation %,Average Salary,Academic Services Expenditure per Student,Facilities Expenditure per Student,Student/Staff Ratio,% Graduates in High Skilled Work,% Satisfied with Teaching,% Satisfied with Course,% Satisfied with Assessment,Subjects
The University of Lancaster,96.3,25454.0,2094.0,1857.0,10.8,42.7,87.9,87.3,69.1,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Leeds Arts University,96.2,19973.0,795.0,1980.0,15.9,40.7,84.39999999999999,82.8,81.0,"['Design, and creative and performing arts']"
Leeds Beckett University,90.5,22706.0,1261.0,908.0,24.8,44.8,86.8,84.8,75.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Leeds,97.0,25840.0,2361.0,2297.0,10.6,51.3,85.7,82.1,68.0,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Leeds Trinity University,90.9,20744.0,896.0,1595.0,36.9,39.3,85.5,82.89999999999999,77.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications']"
The University of Leicester,96.9,25740.0,2008.0,2991.0,10.8,41.4,85.2,83.89999999999999,69.3,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Geography, earth and environmental studies']"
The University of Lincoln,95.0,23505.0,1161.0,651.0,16.4,42.1,88.7,87.9,71.5,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Liverpool Hope University,90.3,20825.0,775.0,890.0,,34.6,86.4,83.3,76.4,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Mathematical sciences', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Liverpool John Moores University,91.9,22964.0,1118.0,989.0,18.4,42.5,85.0,86.1,75.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The Liverpool Institute for Performing Arts,91.4,,141.0,6334.0,,48.5,92.5,90.60000000000001,78.3,"['Engineering and technology', 'Design, and creative and performing arts']"
The University of Liverpool,96.1,25158.0,1986.0,916.0,10.9,41.1,86.9,83.1,71.89999999999999,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
"University of the Arts, London",93.0,22884.0,2672.0,2378.0,14.2,30.7,81.89999999999999,78.10000000000001,76.9,"['Biological and sport sciences', 'Computing', 'Architecture, building and planning', 'Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
London Metropolitan University,79.3,24024.0,2182.0,1527.0,27.0,33.7,84.89999999999999,81.2,77.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
London South Bank University,88.0,27229.0,1430.0,2497.0,,45.0,83.39999999999999,84.0,71.1,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
London School of Economics and Political Science,97.6,31673.0,1838.0,3225.0,10.1,48.2,86.4,84.3,72.2,"['Mathematical sciences', 'Social sciences', 'Law', 'Business and management', 'Historical, philosophical and religious studies', 'Geography, earth and environmental studies']"
London Studio Centre,96.3,,,,,31.2,92.2,87.4,75.7,"['Design, and creative and performing arts']"
Loughborough University,97.4,27513.0,1612.0,1083.0,12.8,58.1,88.2,89.4,75.4,"['Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The Manchester Metropolitan University,92.7,22529.0,1741.0,893.0,16.9,41.4,84.0,83.1,75.6,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Manchester,96.4,26166.0,2385.0,3333.0,8.7,47.3,85.7,82.0,67.30000000000001,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Istituto Marangoni Limited,,,1930.0,2187.0,,,81.69999999999999,76.2,74.6,"['Business and management', 'Design, and creative and performing arts']"
Middlesex University,89.2,24828.0,1846.0,1391.0,22.8,33.9,81.2,77.10000000000001,74.0,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Newcastle University,96.9,26458.0,1660.0,1083.0,10.2,47.2,,,,[]
Newman University,88.6,21388.0,1211.0,2254.0,21.5,41.0,89.3,83.6,79.9,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts']"
The University of Northampton,89.5,23719.0,1528.0,3726.0,19.9,45.4,81.89999999999999,79.0,74.8,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
University of Northumbria at Newcastle,91.9,24265.0,1249.0,2289.0,19.1,48.5,85.1,85.39999999999999,75.6,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Norwich University of the Arts,90.9,20134.0,2066.0,1784.0,,36.5,90.9,88.1,70.5,"['Computing', 'Architecture, building and planning', 'Business and management', 'Design, and creative and performing arts']"
University of Nottingham,96.5,27112.0,1714.0,3009.0,,53.8,87.0,82.8,68.4,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The Nottingham Trent University,94.7,23432.0,1108.0,1125.0,,44.8,86.7,88.5,79.80000000000001,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Oxford Brookes University,94.2,24884.0,1203.0,2607.0,17.2,51.6,79.5,78.10000000000001,65.9,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Oxford,98.8,30413.0,2280.0,10986.0,3.9,51.2,,,,[]
Plymouth College of Art,89.5,18500.0,761.0,2678.0,,28.6,80.4,76.3,76.1,"['Design, and creative and performing arts']"
University of Plymouth,92.8,24191.0,1674.0,1811.0,18.0,51.2,88.9,85.3,78.2,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Portsmouth,93.2,25184.0,1276.0,578.0,19.4,41.7,87.8,86.4,73.4,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
"Queen Margaret University, Edinburgh",89.4,23635.0,917.0,2262.0,24.4,44.6,89.5,84.3,71.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Social sciences', 'Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Queen Mary University of London,95.5,28482.0,1318.0,3004.0,9.2,46.4,82.69999999999999,79.2,62.0,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Ravensbourne University London,90.2,23586.0,1124.0,5266.0,23.0,54.5,68.7,61.6,63.0,"['Engineering and technology', 'Architecture, building and planning', 'Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Reading,94.5,25101.0,1606.0,3521.0,14.1,49.0,85.1,81.5,69.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Regent's University London,85.5,,7118.0,8958.0,,16.2,80.30000000000001,82.1,74.5,"['Psychology', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Robert Gordon University,92.3,,888.0,1048.0,24.8,,87.7,88.9,74.0,"['Subjects allied to medicine', 'Biological and sport sciences', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Roehampton University,91.3,23909.0,1488.0,2318.0,25.5,35.1,86.8,85.1,75.9,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
Rose Bruford College of Theatre and Performance,94.8,,514.0,5314.0,,48.0,69.19999999999999,47.9,39.1,"['Engineering and technology', 'Computing', 'Design, and creative and performing arts']"
Royal Agricultural University,92.2,24456.0,2050.0,4321.0,,50.0,85.39999999999999,87.0,74.5,"['Agriculture, food and related studies', 'Architecture, building and planning', 'Business and management']"
Royal Conservatoire of Scotland,93.7,,1228.0,5396.0,10.6,46.4,89.3,89.7,69.3,"['Education and teaching', 'Design, and creative and performing arts']"
Royal Holloway and Bedford New College,95.0,24458.0,1760.0,2347.0,13.8,34.6,88.5,87.1,72.89999999999999,"['Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The Royal Veterinary College,97.6,30096.0,10595.0,7784.0,8.7,58.5,92.7,83.89999999999999,62.4,"['Biological and sport sciences', 'Veterinary sciences', 'Agriculture, food and related studies']"
The University of St Andrews,97.3,26590.0,2662.0,1786.0,9.2,33.6,93.5,92.9,79.7,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Combined and general studies', 'Media, journalism and communications', 'Geography, earth and environmental studies']"
SAE Education Limited,80.5,,,3160.0,,38.1,84.2,77.2,77.3,"['Engineering and technology', 'Computing', 'Business and management', 'Media, journalism and communications', 'Design, and creative and performing arts']"
"St George's, University of London",96.3,30000.0,1770.0,4659.0,11.9,58.6,,,,[]
St Mary's University College,99.1,22636.0,709.0,2040.0,,56.0,81.39999999999999,81.8,64.2,"['Social sciences', 'Education and teaching']"
"St Mary's University, Twickenham",90.0,24000.0,936.0,4317.0,21.2,44.8,87.4,86.0,74.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Salford,90.8,23398.0,1026.0,2315.0,21.3,46.3,84.8,82.89999999999999,76.6,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
SOAS University of London,92.6,25725.0,2095.0,3481.0,13.8,31.9,,,,[]
SRUC,95.5,21272.0,395.0,11569.0,4.2,21.2,75.8,73.3,57.699999999999996,"['Biological and sport sciences', 'Agriculture, food and related studies', 'Business and management', 'Geography, earth and environmental studies']"
Sheffield Hallam University,93.1,23636.0,1860.0,1189.0,18.7,53.7,87.5,84.1,74.0,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Sheffield,97.3,26164.0,1621.0,1702.0,8.9,46.1,88.2,86.7,71.89999999999999,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Solent University,91.1,22524.0,1196.0,2363.0,19.1,38.3,88.5,83.7,78.60000000000001,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Southampton,97.6,26344.0,1947.0,2050.0,9.2,52.9,87.0,85.9,71.39999999999999,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Staffordshire University,90.1,24500.0,978.0,2000.0,27.0,44.5,87.6,85.7,80.0,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Stirling,91.3,24411.0,843.0,1168.0,17.2,47.2,89.5,86.9,78.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Mathematical sciences', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Geography, earth and environmental studies']"
Stranmillis University College,93.9,21600.0,356.0,2833.0,,50.0,94.19999999999999,94.3,85.5,"['Biological and sport sciences', 'Education and teaching']"
The University of Strathclyde,93.0,26472.0,1203.0,1703.0,14.7,52.7,87.9,85.1,67.30000000000001,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
University of Suffolk,76.2,24940.0,692.0,888.0,47.8,51.1,82.1,74.3,72.7,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Sunderland,87.4,23348.0,1524.0,1255.0,20.4,33.2,83.89999999999999,80.7,70.89999999999999,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Surrey,95.4,26925.0,1759.0,3698.0,14.0,53.2,84.89999999999999,79.4,64.8,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Veterinary sciences', 'Agriculture, food and related studies', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Sussex,97.0,25073.0,1431.0,1382.0,13.9,38.0,86.1,82.0,68.0,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Swansea University,94.9,24642.0,1379.0,2372.0,12.9,43.8,86.8,86.9,73.8,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Geography, earth and environmental studies']"
Teesside University,87.7,23912.0,1359.0,862.0,26.1,46.9,87.7,84.5,77.5,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Trinity Laban Conservatoire of Music and Dance,94.8,,787.0,6819.0,,50.0,83.7,81.0,59.5,"['Design, and creative and performing arts']"
University of Wales Trinity Saint David,90.9,22593.0,756.0,3134.0,26.5,26.5,86.7,80.30000000000001,83.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts']"
University of the Highlands and Islands,88.5,24416.0,398.0,2137.0,,20.9,87.7,84.39999999999999,78.4,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Agriculture, food and related studies', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Law,96.3,,,,,50.9,82.89999999999999,82.3,70.6,"['Law', 'Business and management']"
University College London,96.7,30448.0,2120.0,4609.0,5.8,49.0,84.3,82.19999999999999,67.0,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
University of South Wales,91.2,23702.0,1069.0,1510.0,21.3,36.4,84.3,82.5,77.8,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Warwick,97.2,29202.0,1438.0,2240.0,10.5,48.5,86.0,83.89999999999999,70.3,"['Medicine and dentistry', 'Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
"University of the West of England, Bristol",92.5,24611.0,962.0,1514.0,19.7,52.6,88.8,88.6,76.5,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of the West of Scotland,85.5,24670.0,1456.0,2135.0,28.5,47.9,86.5,84.3,71.39999999999999,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of West London,88.9,25367.0,1193.0,726.0,,41.8,89.2,85.6,78.8,"['Subjects allied to medicine', 'Psychology', 'Physical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Westminster,91.0,24904.0,986.0,2052.0,22.5,35.2,85.5,82.6,72.3,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Media, journalism and communications', 'Design, and creative and performing arts']"
The University of Winchester,93.4,22542.0,1132.0,2081.0,18.2,38.7,84.89999999999999,79.2,74.2,"['Biological and sport sciences', 'Psychology', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Combined and general studies', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
The University of Wolverhampton,88.7,23660.0,1368.0,1676.0,21.1,40.7,83.8,82.6,74.1,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Mathematical sciences', 'Engineering and technology', 'Computing', 'Architecture, building and planning', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts']"
University of Worcester,92.5,22594.0,818.0,2365.0,22.1,46.4,88.6,86.6,80.2,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Physical sciences', 'Computing', 'Social sciences', 'Law', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
Writtle University College,90.5,,1177.0,12933.0,,31.0,91.10000000000001,86.1,79.10000000000001,"['Biological and sport sciences', 'Veterinary sciences', 'Agriculture, food and related studies', 'Architecture, building and planning', 'Design, and creative and performing arts']"
York St John University,92.0,21761.0,1293.0,1147.0,20.6,39.3,89.2,86.0,81.39999999999999,"['Subjects allied to medicine', 'Biological and sport sciences', 'Psychology', 'Computing', 'Social sciences', 'Business and management', 'Language and area studies', 'Historical, philosophical and religious studies', 'Education and teaching', 'Media, journalism and communications', 'Design, and creative and performing arts', 'Geography, earth and environmental studies']"
