UKPRN,HE Provider,"Managers, directors and senior officials",Professional occupations,Associate professional and technical occupations,Clerical and manual occupations,Total academic staff (excluding atypical)
10005545,Royal Agricultural University*,0,45,0,0,50
10007777,Royal College of Art,5,125,0,0,130
10007778,Royal College of Music*,0,85,0,0,85
10005561,Royal Conservatoire of Scotland,0,110,0,0,115
10007816,The Royal Central School of Speech and Drama,0,65,0,0,65
10005553,Royal Holloway and Bedford New College,0,835,0,0,835
10007837,Royal Northern College of Music,0,80,0,0,80
10007779,The Royal Veterinary College,0,285,0,0,290
10007803,The University of St Andrews,0,"1,145",0,0,"1,145"
10007839,SAE Education Limited*,0,35,0,0,35
10007782,"St George's, University of London",0,365,0,0,365
10008026,St Mary's University College,0,40,0,0,40
10007843,"St Mary's University, Twickenham",20,240,0,0,260
10007156,The University of Salford,0,"1,010",0,0,"1,010"
10007780,SOAS University of London,5,410,0,0,420
10005700,SRUC,20,295,50,0,370
10005790,Sheffield Hallam University,0,"1,660",0,0,"1,660"
10007157,The University of Sheffield,0,"3,370",0,0,"3,370"
10006022,Solent University,0,550,5,0,550
10007158,The University of Southampton,5,"2,465",0,0,"2,470"
10006093,Spurgeon's College*,0,15,0,0,15
10006299,Staffordshire University,20,530,25,0,580
10007804,The University of Stirling,0,720,5,0,730
10037449,University of St Mark and St John,0,100,0,0,100
10008010,Stranmillis University College*,0,45,0,0,50
10007805,The University of Strathclyde,0,"1,655",0,0,"1,655"
10014001,University of Suffolk,0,200,0,0,200
10007159,The University of Sunderland,0,765,5,0,770
10007160,The University of Surrey,10,"1,190",10,0,"1,210"
10007806,The University of Sussex,0,"1,395",5,0,"1,400"
10007855,Swansea University,0,"1,580",0,0,"1,580"
10007161,Teesside University,0,740,0,0,740
10008017,Trinity Laban Conservatoire of Music and Dance*,5,115,0,0,120
10007858,University of Wales Trinity Saint David,20,450,10,0,480
10007114,University of the Highlands and Islands,0,90,0,0,90
10007807,Ulster University*,5,"1,145",10,0,"1,160"
10039956,The University of Law*,0,285,0,0,285
10007784,University College London,0,"7,095",10,0,"7,105"
10007793,University of South Wales,0,"1,070",10,0,"1,085"
10008574,The University of Wales (central functions),0,10,0,0,10
10007163,The University of Warwick,0,"2,565",0,0,"2,565"
10007164,"University of the West of England, Bristol",0,"1,555",5,0,"1,560"
10007800,The University of the West of Scotland,0,550,15,0,565
10006566,The University of West London*,0,600,0,0,600
10007165,The University of Westminster,0,860,5,0,865
10003614,The University of Winchester,0,440,0,0,440
10007166,The University of Wolverhampton,0,890,0,0,895
10007139,University of Worcester,5,445,10,0,460
10007657,Writtle University College*,0,85,0,0,85
10007713,York St John University,5,320,15,0,340
10007167,The University of York*,0,"1,870",0,0,"1,870"
,Total,450,"174,490","1,275",5,"176,220"
