UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10007783,The University of Aberdeen,,"6,360","6,360",,"9,605","8,807","1,339","26,111"
10007849,Abertay University,,"1,148","1,148",,"1,642","1,211",0,"4,001"
10007856,Aberystwyth University,,"1,550","1,550",,"5,425","6,600",0,"13,575"
10000163,AECC University College,,298,298,,616,431,0,"1,345"
10000291,Anglia Ruskin University,,"3,175","3,175",,"10,448","10,032","2,033","25,688"
10007759,Aston University,,"4,113","4,113",,"5,051","6,815",0,"15,979"
10007857,Bangor University,,"2,481","2,481",,"9,249","8,380","1,182","21,292"
10000571,Bath Spa University,,"2,297","2,297",,"5,427","2,342","2,530","12,596"
10007850,The University of Bath,,"6,682","6,682",,"13,927","14,701","3,567","38,877"
10007152,University of Bedfordshire,,"1,406","1,406",,"5,034","5,852",0,"12,292"
10005343,Queen's University Belfast,,"6,202","6,202",,"17,528","12,893",0,"36,623"
10007760,Birkbeck College,,"2,906","2,906",,"7,439","1,698",0,"12,043"
10007140,Birmingham City University,,"4,152","4,152",,"17,502","14,079",0,"35,733"
10006840,The University of Birmingham,,"12,914","12,914",,"23,177","33,803",0,"69,894"
10000712,University College Birmingham,,"1,226","1,226",,"2,866","2,545",0,"6,637"
10007811,Bishop Grosseteste University,,565,565,,747,626,0,"1,938"
10006841,The University of Bolton,,"1,396","1,396",,"3,320","2,607",0,"7,323"
10000385,The Arts University Bournemouth,,395,395,,"4,024","1,651","1,680","7,750"
10000824,Bournemouth University,,"2,861","2,861",,"8,662","4,605","1,471","17,599"
10007785,The University of Bradford,,"4,900","4,900",,"10,903","5,835",0,"21,638"
10000886,The University of Brighton,,"5,719","5,719",,"15,703","4,163","1,336","26,921"
10000936,The University College of Osteopathy,,86,86,,608,178,195,"1,067"
10007786,The University of Bristol,,"16,359","16,359",,"44,306","30,870",0,"91,535"
10000961,Brunel University London,,"2,925","2,925",,"18,109","7,292",0,"28,326"
10000975,Buckinghamshire New University,,0,0,,"4,711","2,019",0,"6,730"
10007787,The University of Buckingham,,966,966,,"1,403",694,0,"3,063"
