UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10007788,The University of Cambridge,,"16,178","16,178",,"72,612","52,763",0,"141,553"
10003324,The Institute of Cancer Research,,"2,898","2,898",,"9,135","2,374",0,"14,407"
10001143,Canterbury Christ Church University,,"3,900","3,900",,"7,448","3,300","1,529","16,177"
10007814,Cardiff University,,"8,177","8,177",,"24,572","12,519",0,"45,268"
10007854,Cardiff Metropolitan University,,"1,854","1,854",,"3,915","2,015",0,"7,784"
10007141,The University of Central Lancashire,,"5,142","5,142",,"11,331","4,224",0,"20,697"
10007848,University of Chester,,"2,954","2,954",,"5,140","3,685",554,"12,333"
10007137,The University of Chichester,,"1,581","1,581",,"2,051","1,911",566,"6,109"
10001478,"City, University of London",,"4,832","4,832",,"19,801","9,977",0,"34,610"
10001653,Conservatoire for Dance and Drama,,0,0,,"3,598",0,0,"3,598"
10007761,Courtauld Institute of Art,,157,157,,"3,285",325,0,"3,767"
10001726,Coventry University,,"5,641","5,641",,"20,199","11,332",0,"37,172"
10007822,Cranfield University,,"4,721","4,721",,"9,731","2,549",0,"17,001"
10006427,University for the Creative Arts,,"1,156","1,156",,"5,056","1,091",0,"7,303"
10007842,University of Cumbria,,"1,425","1,425",,"4,206","1,909",0,"7,540"
10001883,De Montfort University,,"6,125","6,125",,"10,637","6,633",0,"23,395"
10007851,University of Derby,,"4,994","4,994",,"6,317","8,298",392,"20,001"
10007852,The University of Dundee,,"4,881","4,881",,"11,349","10,324",110,"26,664"
10007143,University of Durham,,"5,819","5,819",,"17,393","12,951","4,076","40,239"
10007789,The University of East Anglia,,"8,714","8,714",,"11,922","12,067","6,749","39,452"
10007144,The University of East London,,"2,485","2,485",,"11,609","4,809",0,"18,903"
10007823,Edge Hill University,,"2,917","2,917",,"5,522","2,682",0,"11,121"
10007772,Edinburgh Napier University,,"3,603","3,603",,"4,350","4,313",0,"12,266"
10007790,The University of Edinburgh,,"22,005","22,005",,"44,948","36,327",0,"103,280"
10007791,The University of Essex,,"4,480","4,480",,"10,690","6,590","5,372","27,132"
10007792,The University of Exeter,,"9,942","9,942",,"20,665","17,967","9,409","57,983"
10008640,Falmouth University,,770,770,,"5,623","2,185",585,"9,163"
10004511,The National Film and Television School,,104,104,,"1,282",121,0,"1,507"
10007762,Glasgow Caledonian University,,"3,615","3,615",,"7,490","4,304",0,"15,409"
10002681,Glasgow School of Art,,"1,501","1,501",,"3,552","3,021",0,"8,074"
10007794,The University of Glasgow,,"14,955","14,955",,"44,607","22,178",0,"81,740"
10007145,University of Gloucestershire,,"2,225","2,225",,"4,272",118,544,"7,159"
10007833,Glyndŵr University,,862,862,,"2,959",912,0,"4,733"
10002718,Goldsmiths College,,"3,307","3,307",,"7,963","6,476",437,"18,183"
10007146,The University of Greenwich,,"1,939","1,939",,"14,661","4,432",798,"21,830"
10007825,Guildhall School of Music and Drama,,"1,377","1,377",,"3,782",0,0,"5,159"
10040812,Harper Adams University,,"1,158","1,158",,"1,890",169,85,"3,302"
10007764,Heriot-Watt University,,"4,581","4,581",,"18,570","4,787",0,"27,938"
10007147,University of Hertfordshire,,"1,811","1,811",,"18,483","10,618","2,359","33,271"
10007765,Heythrop College,,96,96,,709,"4,693",0,"5,498"
10007148,The University of Huddersfield,,"4,085","4,085",,"8,572","5,069",0,"17,726"
10007149,The University of Hull,,"5,064","5,064",,"7,706","10,688","2,289","25,747"
10003270,"Imperial College of Science, Technology and Medicine",,"15,596","15,596",,"63,051","42,878",0,"121,525"
10007767,Keele University,,"5,093","5,093",,"10,139","3,624",0,"18,856"
10007150,The University of Kent,,"6,280","6,280",,"15,146","11,620","2,270","35,316"
10003645,King's College London,,"11,754","11,754",,"76,799","32,170",0,"120,723"
10003678,Kingston University,,"6,999","6,999",,"11,869","7,350",0,"26,218"
10007768,The University of Lancaster,,"7,107","7,107",,"11,905","4,209","2,505","25,726"
10003854,Leeds Arts University,,734,734,,"1,230",408,36,"2,408"
10003861,Leeds Beckett University,,"4,598","4,598",,"13,421","13,230",0,"31,249"
10007795,The University of Leeds,,"12,006","12,006",,"26,935","32,162",312,"71,415"
10003863,Leeds Trinity University,,598,598,,998,"1,435",0,"3,031"
10007796,The University of Leicester,,"8,111","8,111",,"16,734","10,247","1,930","37,022"
10007151,The University of Lincoln,,"1,919","1,919",,"13,791","6,504","2,284","24,498"
10003956,Liverpool Hope University,,"2,338","2,338",,"3,454","2,333",62,"8,187"
10003957,Liverpool John Moores University,,"6,074","6,074",,"17,295","5,325","2,733","31,427"
10003945,The Liverpool Institute for Performing Arts,,413,413,,502,690,0,"1,605"
10006842,The University of Liverpool,,"10,064","10,064",,"22,924","25,877","10,871","69,736"
10003958,Liverpool School of Tropical Medicine,,485,485,,"2,189","2,069",0,"4,743"
10007162,"University of the Arts, London",,"5,802","5,802",,"29,835","3,121",0,"38,758"
10007769,London Business School,,"1,867","1,867",,"11,528",0,0,"13,395"
10007797,University of London (Institutes and activities),,"1,370","1,370",,"10,868","3,363",0,"15,601"
10004048,London Metropolitan University,,413,413,,"12,018","3,546",39,"16,016"
10004078,London South Bank University,,"1,583","1,583",,"12,991","5,618",693,"20,885"
10004063,London School of Economics and Political Science,,"7,544","7,544",,"19,538","11,872",0,"38,954"
10007771,London School of Hygiene and Tropical Medicine,,827,827,,"4,384","5,186",717,"11,114"
10004113,Loughborough University,,"7,739","7,739",,"18,734","13,274",0,"39,747"
10004180,The Manchester Metropolitan University,,"8,376","8,376",,"15,579","7,573","1,653","33,181"
10007798,The University of Manchester,,"24,263","24,263",,"69,589","34,284","18,448","146,584"
10004351,Middlesex University,,"1,397","1,397",,"12,322","8,950","4,341","27,010"
10007799,Newcastle University,,"9,792","9,792",,"30,405","14,127","2,056","56,380"
10007832,Newman University,,493,493,,"1,206",4,0,"1,703"
10007138,The University of Northampton,,"3,904","3,904",,"3,254",0,0,"7,158"
10001282,University of Northumbria at Newcastle,,"5,066","5,066",,"10,939","10,168","3,188","29,361"
10004775,Norwich University of the Arts,,681,681,,"1,148","1,060",0,"2,889"
10007154,University of Nottingham,,"10,919","10,919",,"29,953","18,245",53,"59,170"
10004797,The Nottingham Trent University,,"7,476","7,476",,"9,160","10,651","10,601","37,888"
10007773,The Open University,,"5,079","5,079",,"13,790","6,282",0,"25,151"
10004930,Oxford Brookes University,,"3,973","3,973",,"11,084","11,710","2,287","29,054"
10007774,The University of Oxford,,"21,198","21,198",,"65,252","27,979","5,321","119,750"
10005127,Plymouth College of Art,,415,415,,"1,480",761,219,"2,875"
10007801,University of Plymouth,,"4,143","4,143",,"13,377","6,564","2,554","26,638"
10007155,The University of Portsmouth,,"3,590","3,590",,"11,493","14,803",0,"29,886"
10005337,"Queen Margaret University, Edinburgh",,673,673,,"3,823","3,128",0,"7,624"
10007775,Queen Mary University of London,,"9,094","9,094",,"21,402","11,158",965,"42,619"
10005389,Ravensbourne University London,,115,115,,"2,619","1,201",0,"3,935"
10007802,The University of Reading,,"8,960","8,960",,"18,845","29,038","5,600","62,443"
10005500,Robert Gordon University,,"3,054","3,054",,"4,889","5,263","4,478","17,684"
10007776,Roehampton University,,"3,439","3,439",,"6,603","2,242","1,412","13,696"
10005523,Rose Bruford College of Theatre and Performance,,217,217,,662,0,0,879
10007835,Royal Academy of Music,,792,792,,"2,822",737,0,"4,351"
10005545,Royal Agricultural University,,705,705,,"1,590",311,117,"2,723"
10007777,Royal College of Art,,"1,127","1,127",,"7,344","3,385",0,"11,856"
10007778,Royal College of Music,,"1,003","1,003",,"2,009",833,0,"3,845"
10005561,Royal Conservatoire of Scotland,,325,325,,920,601,0,"1,846"
10007816,The Royal Central School of Speech and Drama,,244,244,,724,322,0,"1,290"
10005553,Royal Holloway and Bedford New College,,"2,980","2,980",,"7,011","7,408","1,480","18,879"
10007837,Royal Northern College of Music,,679,679,,"1,487",0,0,"2,166"
10007779,The Royal Veterinary College,,"2,411","2,411",,"4,439","3,513",100,"10,463"
10007803,The University of St Andrews,,"6,485","6,485",,"14,619","5,811",89,"27,004"
10007782,"St George's, University of London",,742,742,,"6,002","2,107",0,"8,851"
10008026,St Mary's University College,,495,495,,582,293,0,"1,370"
10007843,"St Mary's University, Twickenham",,"2,269","2,269",,"3,765","2,009",139,"8,182"
10007156,The University of Salford,,"6,671","6,671",,"11,833","11,600",0,"30,104"
10007780,SOAS University of London,,756,756,,"10,204","4,296",250,"15,506"
10005700,SRUC,,"1,617","1,617",,"4,870",0,0,"6,487"
10005790,Sheffield Hallam University,,"6,722","6,722",,"13,697","15,620",0,"36,039"
10007157,The University of Sheffield,,"12,538","12,538",,"25,959","40,089","4,374","82,960"
10006022,Solent University,,"2,583","2,583",,"6,195","3,643",606,"13,027"
10007158,The University of Southampton,,"10,252","10,252",,"29,147","15,515",0,"54,914"
10006299,Staffordshire University,,"3,001","3,001",,"5,346","12,832",0,"21,179"
10007804,The University of Stirling,,"3,172","3,172",,"5,447","4,703",221,"13,543"
10037449,University of St Mark and St John,,673,673,,"2,451","1,840","1,033","5,997"
10008010,Stranmillis University College,,897,897,,"1,480",810,0,"3,187"
10007805,The University of Strathclyde,,"9,379","9,379",,"17,289","17,099",0,"43,767"
10014001,University of Suffolk,,535,535,,"2,520","2,158",0,"5,213"
10007159,The University of Sunderland,,"2,810","2,810",,"5,562","5,055","2,788","16,215"
10007160,The University of Surrey,,"7,394","7,394",,"13,300","12,454","4,478","37,626"
10007806,The University of Sussex,,"8,529","8,529",,"17,369",658,191,"26,747"
10007855,Swansea University,,"5,740","5,740",,"14,004","2,845","1,782","24,371"
10007161,Teesside University,,"2,712","2,712",,"5,890","6,058",20,"14,680"
10008017,Trinity Laban Conservatoire of Music and Dance,,784,784,,"1,712",742,0,"3,238"
10007858,University of Wales Trinity Saint David,,"4,643","4,643",,"7,942","9,938",809,"23,332"
10007114,University of the Highlands and Islands,,68,68,,"1,667",0,0,"1,735"
10007807,Ulster University,,"3,569","3,569",,"16,074","11,408",814,"31,865"
10007784,University College London,,"5,214","5,214",,"110,657","46,627","1,188","163,686"
10007793,University of South Wales,,"2,567","2,567",,"11,250","8,772","2,294","24,883"
10008574,The University of Wales (central functions),,0,0,,450,0,0,450
10007163,The University of Warwick,,"15,351","15,351",,"21,437","13,478",0,"50,266"
10007164,"University of the West of England, Bristol",,"7,568","7,568",,"13,562","10,505",0,"31,635"
10007800,The University of the West of Scotland,,"2,425","2,425",,"2,156",0,0,"4,581"
10006566,The University of West London,,709,709,,"7,185",82,0,"7,976"
10007165,The University of Westminster,,"3,928","3,928",,"23,372","16,051","1,181","44,532"
10003614,The University of Winchester,,"2,018","2,018",,"3,201","2,814",75,"8,108"
10007166,The University of Wolverhampton,,"7,406","7,406",,"7,398","9,214",1,"24,019"
10007139,University of Worcester,,"1,628","1,628",,"5,303",994,0,"7,925"
10007657,Writtle University College,,649,649,,"1,455",2,0,"2,106"
10007713,York St John University,,"2,014","2,014",,"3,102","1,707",677,"7,500"
10007167,The University of York,,"18,898","18,898",,"14,474","18,156",0,"51,528"
,Total,,"726,421","726,421",,"2,042,461","1,311,832","163,522","4,244,236"
