UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10008574,The University of Wales (central functions),0,637,637,,392,62,,"1,091"
10007163,The University of Warwick,"2,690","22,731","25,421",,-283,650,,"25,788"
10007164,"University of the West of England, Bristol","1,364","14,471","15,835",,"5,729","1,262",,"22,826"
10007800,The University of the West of Scotland,766,"9,296","10,062",,"2,392","2,855",,"15,309"
10006566,The University of West London,47,"1,274","1,321",,"1,870",152,,"3,343"
10007165,The University of Westminster,255,"10,059","10,314",,"8,660",0,,"18,974"
10003614,The University of Winchester,206,"4,200","4,406",,"3,959",28,,"8,393"
10007166,The University of Wolverhampton,"1,534","9,920","11,454",,"4,786",111,,"16,351"
10007139,University of Worcester,"1,062","6,896","7,958",,"3,492",130,,"11,580"
10007657,Writtle University College,519,"2,766","3,285",,"1,506",9,,"4,800"
10007713,York St John University,426,"1,996","2,422",,"1,124",35,,"3,581"
10007167,The University of York,"2,729","15,277","18,006",,"12,625","1,584",,"32,215"
,Total,"106,083","1,680,020","1,786,103",,"917,348","72,715",,"2,776,166"
