UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10008071,AA School of Architecture,"8,693",0,"8,693",,0,0,,"8,693"
10007783,The University of Aberdeen,"54,649","10,903","65,552",,"13,940","2,224",,"81,716"
10007849,Abertay University,"11,242",927,"12,169",,969,280,,"13,418"
10007856,Aberystwyth University,"22,318","5,913","28,231",,"5,369","1,722",,"35,322"
10000163,AECC University College,"3,132",0,"3,132",,408,0,,"3,540"
10032036,Amity Global Education,211,0,211,,247,0,,458
10000291,Anglia Ruskin University,"53,439","15,283","68,722",,"33,489","3,814",,"106,025"
10007759,Aston University,"51,878","13,899","65,777",,"16,425","2,039",,"84,241"
10007857,Bangor University,"33,082","5,273","38,355",,"8,121",195,,"46,671"
10000571,Bath Spa University,"20,930","3,149","24,079",,"6,035",165,,"30,279"
10007850,The University of Bath,"68,377","16,275","84,652",,"22,852","1,558",,"109,062"
10007152,University of Bedfordshire,"30,654","2,865","33,519",,"11,412",862,,"45,793"
10005343,Queen's University Belfast,"91,462","26,487","117,949",,"24,631","2,165",,"144,745"
10007760,Birkbeck College,"36,411","10,576","46,987",,"4,299",0,,"51,286"
10006840,The University of Birmingham,"167,264","43,501","210,765",,"43,335","9,278",,"263,378"
10007811,Bishop Grosseteste University,"6,333",94,"6,427",,812,0,,"7,239"
10006841,The University of Bolton,"23,513","5,958","29,471",,"17,041",307,,"46,819"
10000824,Bournemouth University,"43,488","5,037","48,525",,"10,151",739,,"59,415"
10007785,The University of Bradford,"32,162","3,119","35,281",,"3,616",853,,"39,750"
10000886,The University of Brighton,"66,591","13,491","80,082",,"14,273",821,,"95,176"
10000936,The University College of Osteopathy,"1,933",0,"1,933",,195,24,,"2,152"
10007786,The University of Bristol,"140,446","39,832","180,278",,"57,320","7,198",,"244,796"
10000961,Brunel University London,"54,819","11,300","66,119",,"13,663","5,637",,"85,419"
10000975,Buckinghamshire New University,"13,627","2,099","15,726",,"2,377",0,,"18,103"
10007788,The University of Cambridge,"175,412","95,470","270,882",,"119,415","9,435",,"399,732"
10003324,The Institute of Cancer Research,"11,468",845,"12,313",,"2,644","1,090",,"16,047"
10001143,Canterbury Christ Church University,"40,306","3,166","43,472",,"10,259",519,,"54,250"
10007814,Cardiff University,"151,067","40,363","191,430",,"64,808","6,772",,"263,010"
10007854,Cardiff Metropolitan University,"28,360","5,168","33,528",,"4,805",448,,"38,781"
10007141,The University of Central Lancashire,"68,849","14,743","83,592",,"18,313","1,116",,"103,021"
10007848,University of Chester,"33,806","7,432","41,238",,"8,196",483,,"49,917"
10007137,The University of Chichester,"15,795","2,224","18,019",,"5,947",262,,"24,228"
10001386,Chicken Shed Theatre Company,920,"1,600","2,520",,130,0,,"2,650"
10026921,Christ the Redeemer College,0,0,0,,0,0,,0
10001478,"City, University of London","72,871","20,389","93,260",,"17,074",0,,"110,334"
10001653,Conservatoire for Dance and Drama,0,0,0,,"20,691",0,,"20,691"
10007761,Courtauld Institute of Art,"2,915",0,"2,915",,"1,387",0,,"4,302"
10001726,Coventry University,"88,238","32,399","120,637",,"30,057","5,673",,"156,367"
10007822,Cranfield University,"28,757","21,640","50,397",,"33,172",0,,"83,569"
10006427,University for the Creative Arts,"14,506","5,772","20,278",,"3,461",799,,"24,538"
10007842,University of Cumbria,"19,416","3,029","22,445",,"5,272",355,,"28,072"
10001883,De Montfort University,"58,468","10,277","68,745",,"12,366","1,667",,"82,778"
10007851,University of Derby,"46,863","12,156","59,019",,"18,008","4,061",,"81,088"
10007852,The University of Dundee,"55,121","18,876","73,997",,"13,065","1,603",,"88,665"
10007143,University of Durham,"83,814","17,800","101,614",,"12,639","3,130",,"117,383"
10007789,The University of East Anglia,"78,614","8,627","87,241",,"15,795",637,,"103,673"
10007144,The University of East London,"36,158","3,495","39,653",,"6,353",200,,"46,206"
10007823,Edge Hill University,"40,650","6,084","46,734",,"6,450",986,,"54,170"
10007772,Edinburgh Napier University,"37,754","4,153","41,907",,"7,045","1,040",,"49,992"
10007790,The University of Edinburgh,"211,927","98,325","310,252",,"100,035","6,025",,"416,312"
10022047,Empire College London Limited,142,157,299,,171,12,,482
10007791,The University of Essex,"55,145","12,272","67,417",,"10,534",44,,"77,995"
10008173,University College of Estate Management,"4,338","7,283","11,621",,323,0,,"11,944"
10007792,The University of Exeter,"111,269","3,949","115,218",,"31,397","2,240",,"148,855"
10008640,Falmouth University,"11,412","5,556","16,968",,"9,974",863,,"27,805"
10004511,The National Film and Television School,"1,886",901,"2,787",,"2,670","1,094",,"6,551"
10042500,Global Banking School Limited,0,0,0,,0,0,,0
10007762,Glasgow Caledonian University,"42,586","2,565","45,151",,"5,572",296,,"51,019"
10007794,The University of Glasgow,"125,182","35,104","160,286",,"39,202","3,150",,"202,638"
10007145,University of Gloucestershire,"21,609","3,971","25,580",,"4,175","3,845",,"33,600"
10007833,Glyndŵr University,"10,136",0,"10,136",,"1,817",9,,"11,962"
10002718,Goldsmiths College,"40,584","6,102","46,686",,"3,736",343,,"50,765"
10007146,The University of Greenwich,"45,376","11,271","56,647",,"9,642",342,,"66,631"
10007825,Guildhall School of Music and Drama,"8,940","3,062","12,002",,"2,287",0,,"14,289"
10040812,Harper Adams University,"11,089","1,307","12,396",,"2,230","1,226",,"15,852"
10080811,Hartpury University,"7,249",0,"7,249",,964,0,,"8,213"
10007764,Heriot-Watt University,"35,468","22,758","58,226",,"16,383","1,476",,"76,085"
10007147,University of Hertfordshire,"68,449","11,101","79,550",,"11,370","2,167",,"93,087"
10007148,The University of Huddersfield,"45,997","10,151","56,148",,"10,345",653,,"67,146"
10007149,The University of Hull,"54,462","14,045","68,507",,"13,581","1,481",,"83,569"
10003270,"Imperial College of Science, Technology and Medicine","172,766","77,311","250,077",,"72,748","2,200",,"325,025"
10035638,Institute of Contemporary Music Performance,"1,341",0,"1,341",,"1,636",0,,"2,977"
10007767,Keele University,"40,842","10,909","51,751",,"8,955",679,,"61,385"
10007150,The University of Kent,"70,183","19,905","90,088",,"10,437","1,448",,"101,973"
10003645,King's College London,"222,294","61,103","283,397",,"43,131","4,491",,"331,019"
10003678,Kingston University,"51,063","12,165","63,228",,"16,536",937,,"80,701"
10003758,LAMDA Limited,"2,076",568,"2,644",,"1,210",12,,"3,866"
10007768,The University of Lancaster,"70,252","15,632","85,884",,"21,229","4,734",,"111,847"
10003861,Leeds Beckett University,"54,721","12,795","67,516",,"9,007","1,531",,"78,054"
10007795,The University of Leeds,"179,752","41,640","221,392",,"41,708","6,508",,"269,608"
10003863,Leeds Trinity University,"9,059","1,484","10,543",,"1,943",96,,"12,582"
10007796,The University of Leicester,"82,045","21,970","104,015",,"20,696","1,808",,"126,519"
10007151,The University of Lincoln,"49,172","12,065","61,237",,"8,849",822,,"70,908"
10003956,Liverpool Hope University,"15,968","1,704","17,672",,"2,263",235,,"20,170"
10003957,Liverpool John Moores University,"77,578","13,574","91,152",,"14,711","2,604",,"108,467"
10006842,The University of Liverpool,"145,747","36,437","182,184",,"61,672","5,329",,"249,185"
10007162,"University of the Arts, London","59,752","37,293","97,045",,"22,092",0,,"119,137"
10007769,London Business School,"28,032","7,793","35,825",,"26,252",0,,"62,077"
10007797,University of London (Institutes and activities),"3,345","3,139","6,484",,"1,840",0,,"8,324"
10023434,London School of Commerce & IT Limited,0,0,0,,0,0,,0
10004048,London Metropolitan University,"25,322","1,916","27,238",,"2,497","2,033",,"31,768"
10032594,London School of Academics Ltd,0,141,141,,0,0,,141
10004078,London South Bank University,"39,300","8,496","47,796",,"9,705",0,,"57,501"
10004063,London School of Economics and Political Science,"98,593","26,930","125,523",,"18,134",0,,"143,657"
10007771,London School of Hygiene and Tropical Medicine,"19,886","10,730","30,616",,"14,998",0,,"45,614"
10062810,The London School of Architecture,0,0,0,,0,0,,0
10008289,The London Institute of Banking & Finance,577,693,"1,270",,249,0,,"1,519"
10004035,The Film Education Training Trust Limited,140,0,140,,446,8,,594
10004113,Loughborough University,"75,266","18,466","93,732",,"11,010","2,896",,"107,638"
10004180,The Manchester Metropolitan University,"100,750","10,345","111,095",,"20,639",811,,"132,545"
10007798,The University of Manchester,"224,497","91,366","315,863",,"84,837","5,496",,"406,196"
10009527,Istituto Marangoni Limited,0,0,0,,0,0,,0
10020416,Mattersey Hall,225,104,329,,0,0,,329
10030776,St Mellitus College,480,0,480,,"2,029",3,,"2,512"
10004351,Middlesex University,"61,281","2,708","63,989",,"7,311","1,554",,"72,854"
10023454,Moorlands College,675,0,675,,291,0,,966
10004538,Nazarene Theological College,376,0,376,,121,0,,497
10030129,Nelson College London Ltd,828,"1,739","2,567",,"2,464",37,,"5,068"
10007799,Newcastle University,"134,377","32,694","167,071",,"42,291","4,709",,"214,071"
10048199,New College of the Humanities,"1,222",0,"1,222",,18,0,,"1,240"
10007832,Newman University,"7,707","1,110","8,817",,"1,502",445,,"10,764"
10008397,Norland College,0,0,0,,0,0,,0
10007138,The University of Northampton,"34,395","3,940","38,335",,"23,844","6,801",,"68,980"
10004740,Northern College of Acupuncture,0,0,0,,0,0,,0
10001282,University of Northumbria at Newcastle,"83,093","7,074","90,167",,"14,891","3,509",,"108,567"
10004775,Norwich University of the Arts,"4,212",7,"4,219",,309,3,,"4,531"
10007154,University of Nottingham,"168,377","36,899","205,276",,"72,242","4,393",,"281,911"
10004797,The Nottingham Trent University,"87,709","23,971","111,680",,"24,068","2,890",,"138,638"
10010227,Oak Hill College,"3,655",180,"3,835",,609,0,,"4,444"
10007773,The Open University,"123,737","31,837","155,574",,"20,929",144,,"176,647"
10004930,Oxford Brookes University,"46,936","15,387","62,323",,"17,222",902,,"80,447"
10007774,The University of Oxford,"215,649","103,717","319,366",,"167,786","36,537",,"523,689"
10007801,University of Plymouth,"63,990","17,390","81,380",,"15,989","3,787",,"101,156"
10007155,The University of Portsmouth,"73,148","24,004","97,152",,"25,502","1,945",,"124,599"
10005337,"Queen Margaret University, Edinburgh","11,368","1,281","12,649",,"1,542",26,,"14,217"
