UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10007783,The University of Aberdeen,225,"11,766","11,991",,"6,465","3,038",,"21,494"
10007849,Abertay University,150,"2,474","2,624",,"1,503",146,,"4,273"
10007856,Aberystwyth University,0,"3,389","3,389",,"5,164",149,,"8,702"
10000163,AECC University College,0,412,412,,185,0,,597
10000291,Anglia Ruskin University,121,"9,509","9,630",,"9,055",999,,"19,684"
10007759,Aston University,"1,627","6,370","7,997",,"9,672",729,,"18,398"
10007857,Bangor University,280,"5,933","6,213",,"4,208",243,,"10,664"
10000571,Bath Spa University,286,"5,832","6,118",,"5,209",363,,"11,690"
10007850,The University of Bath,"1,367","14,383","15,750",,"10,829",894,,"27,473"
10007152,University of Bedfordshire,403,"10,710","11,113",,"2,387","1,186",,"14,686"
10005343,Queen's University Belfast,271,"14,562","14,833",,"12,894","1,480",,"29,207"
10007760,Birkbeck College,30,"6,448","6,478",,"4,837",224,,"11,539"
10007140,Birmingham City University,318,"18,715","19,033",,"9,012","3,505",,"31,550"
10006840,The University of Birmingham,121,"38,559","38,680",,"31,858","4,744",,"75,282"
10000712,University College Birmingham,643,"1,359","2,002",,"1,942",0,,"3,944"
10007811,Bishop Grosseteste University,127,"1,647","1,774",,"1,000",288,,"3,062"
10006841,The University of Bolton,115,"2,463","2,578",,"2,316",142,,"5,036"
10000385,The Arts University Bournemouth,0,"1,978","1,978",,"2,012",449,,"4,439"
10000824,Bournemouth University,799,"11,470","12,269",,"8,618","1,981",,"22,868"
10007785,The University of Bradford,159,"5,835","5,994",,"6,224",125,,"12,343"
10000886,The University of Brighton,58,"8,114","8,172",,"9,853",565,,"18,590"
10000936,The University College of Osteopathy,0,387,387,,118,7,,512
10007786,The University of Bristol,285,"18,832","19,117",,"18,401","2,363",,"39,881"
10000961,Brunel University London,163,"9,959","10,122",,"10,873","1,008",,"22,003"
10000975,Buckinghamshire New University,"2,481","6,114","8,595",,"5,378",0,,"13,973"
10007787,The University of Buckingham,87,"1,326","1,413",,944,209,,"2,566"
10007788,The University of Cambridge,"1,499","31,769","33,268",,"21,458",781,,"55,507"
10003324,The Institute of Cancer Research,650,"3,721","4,371",,"2,175",964,,"7,510"
10001143,Canterbury Christ Church University,386,"5,777","6,163",,"6,485","2,394",,"15,042"
10007814,Cardiff University,"1,462","23,430","24,892",,"14,752","6,765",,"46,409"
10007854,Cardiff Metropolitan University,"1,083","7,749","8,832",,"6,088",818,,"15,738"
10007141,The University of Central Lancashire,"1,003","21,281","22,284",,"13,614","1,199",,"37,097"
10007848,University of Chester,507,"8,138","8,645",,"10,503","1,205",,"20,353"
10007137,The University of Chichester,0,"2,627","2,627",,"1,968",661,,"5,256"
10001478,"City, University of London",233,"12,228","12,461",,"10,406","5,658",,"28,525"
10001653,Conservatoire for Dance and Drama,0,0,0,,0,0,,0
10007761,Courtauld Institute of Art,0,966,966,,395,0,,"1,361"
10001726,Coventry University,"2,323","22,437","24,760",,"29,366","1,439",,"55,565"
10007822,Cranfield University,0,"4,721","4,721",,"5,712",0,,"10,433"
10006427,University for the Creative Arts,120,"8,045","8,165",,"3,496",875,,"12,536"
10007842,University of Cumbria,0,"2,715","2,715",,"3,568","1,041",,"7,324"
10001883,De Montfort University,"1,220","13,337","14,557",,"11,997","2,557",,"29,111"
10007851,University of Derby,618,"11,093","11,711",,"8,448",898,,"21,057"
10007852,The University of Dundee,"2,730","13,174","15,904",,"7,844","1,551",,"25,299"
10007143,University of Durham,"1,539","11,486","13,025",,"15,347","5,063",,"33,435"
10007789,The University of East Anglia,995,"13,904","14,899",,"11,521","1,811",,"28,231"
10007144,The University of East London,186,"6,823","7,009",,"1,762","1,987",,"10,758"
10007823,Edge Hill University,0,"9,914","9,914",,"7,645",892,,"18,451"
10007772,Edinburgh Napier University,843,"13,328","14,171",,"6,522","1,431",,"22,124"
10007790,The University of Edinburgh,5,"27,612","27,617",,"12,178","3,950",,"43,745"
10007791,The University of Essex,33,"15,359","15,392",,"9,965",0,,"25,357"
10007792,The University of Exeter,11,"16,984","16,995",,"14,413","4,060",,"35,468"
10008640,Falmouth University,0,"1,339","1,339",,"4,629",82,,"6,050"
10004511,The National Film and Television School,0,"1,328","1,328",,"1,558",100,,"2,986"
10007762,Glasgow Caledonian University,685,"9,432","10,117",,"7,938",373,,"18,428"
10002681,Glasgow School of Art,0,"1,895","1,895",,433,0,,"2,328"
10007794,The University of Glasgow,"3,491","30,741","34,232",,"16,766","1,039",,"52,037"
10007145,University of Gloucestershire,773,"6,140","6,913",,"3,851",288,,"11,052"
10007833,Glyndŵr University,0,"2,691","2,691",,"1,353",132,,"4,176"
10002718,Goldsmiths College,"1,036","10,396","11,432",,"7,415","1,383",,"20,230"
10007146,The University of Greenwich,679,"10,291","10,970",,"10,071",596,,"21,637"
10007825,Guildhall School of Music and Drama,0,504,504,,158,0,,662
10040812,Harper Adams University,158,"1,809","1,967",,"1,527",559,,"4,053"
10007764,Heriot-Watt University,476,"5,698","6,174",,"8,812",686,,"15,672"
10007147,University of Hertfordshire,"1,571","16,477","18,048",,"9,105","2,945",,"30,098"
10007765,Heythrop College,0,222,222,,94,0,,316
10007148,The University of Huddersfield,853,"12,862","13,715",,"12,079",525,,"26,319"
10007149,The University of Hull,54,"12,235","12,289",,"9,573","2,714",,"24,576"
10003270,"Imperial College of Science, Technology and Medicine",430,"28,186","28,616",,"21,471",374,,"50,461"
10007767,Keele University,54,"9,288","9,342",,"4,857",270,,"14,469"
10007150,The University of Kent,0,"10,548","10,548",,"9,178","1,620",,"21,346"
10003645,King's College London,820,"29,644","30,464",,"21,419","5,508",,"57,391"
10003678,Kingston University,"1,775","10,571","12,346",,"10,212","6,831",,"29,389"
10007768,The University of Lancaster,961,"16,160","17,121",,"12,010","2,477",,"31,608"
10003854,Leeds Arts University,0,"1,343","1,343",,268,12,,"1,623"
10003861,Leeds Beckett University,"5,743","14,611","20,354",,"6,236","3,418",,"30,008"
10007795,The University of Leeds,"4,076","53,614","57,690",,"23,812","2,093",,"83,595"
10003863,Leeds Trinity University,220,"2,220","2,440",,"1,202",773,,"4,415"
10007796,The University of Leicester,"1,775","14,812","16,587",,"14,512","1,410",,"32,509"
10007151,The University of Lincoln,"1,657","7,586","9,243",,"7,065","1,529",,"17,837"
10003956,Liverpool Hope University,0,"1,812","1,812",,"1,777",294,,"3,883"
10003957,Liverpool John Moores University,780,"13,956","14,736",,"10,766","1,457",,"26,959"
10003945,The Liverpool Institute for Performing Arts,0,93,93,,30,0,,123
10006842,The University of Liverpool,"1,645","20,448","22,093",,"26,729","1,239",,"50,061"
10003958,Liverpool School of Tropical Medicine,0,0,0,,"2,693",0,,"2,693"
10007162,"University of the Arts, London",0,"32,502","32,502",,"15,696",0,,"48,198"
10007769,London Business School,0,472,472,,"1,273",0,,"1,745"
10007797,University of London (Institutes and activities),679,"17,596","18,275",,"44,803",26,,"63,104"
10004048,London Metropolitan University,296,"13,169","13,465",,"7,440","1,040",,"21,945"
10004078,London South Bank University,0,"16,348","16,348",,"6,691",388,,"23,427"
10004063,London School of Economics and Political Science,0,"11,924","11,924",,"10,131",0,,"22,055"
10007771,London School of Hygiene and Tropical Medicine,"1,643","7,629","9,272",,"5,033",0,,"14,305"
10004113,Loughborough University,"1,116","16,235","17,351",,"9,365","1,494",,"28,210"
10004180,The Manchester Metropolitan University,"2,572","27,623","30,195",,"24,266","1,410",,"55,871"
10007798,The University of Manchester,"2,799","39,066","41,865",,"51,991","3,488",,"97,344"
