UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10008071,AA School of Architecture,0,0,0,,0,0,,0
10007783,The University of Aberdeen,226,"8,724","8,950",,"3,389",61,,"12,400"
10007849,Abertay University,0,"4,264","4,264",,"1,793",0,,"6,057"
10007856,Aberystwyth University,93,"2,658","2,751",,"3,460",9,,"6,220"
10000163,AECC University College,0,"1,376","1,376",,809,97,,"2,282"
10032036,Amity Global Education,0,251,251,,105,15,,371
10000291,Anglia Ruskin University,"1,119","11,171","12,290",,"10,386",0,,"22,676"
10007759,Aston University,809,"7,816","8,625",,"3,752",411,,"12,788"
10007857,Bangor University,701,"5,989","6,690",,"1,357",7,,"8,054"
10000571,Bath Spa University,179,"6,736","6,915",,"1,670",22,,"8,607"
10007850,The University of Bath,723,"12,804","13,527",,"3,990",0,,"17,517"
10007152,University of Bedfordshire,58,"6,675","6,733",,"5,312",59,,"12,104"
10005343,Queen's University Belfast,581,"14,760","15,341",,"10,297",0,,"25,638"
10007760,Birkbeck College,582,"10,931","11,513",,"1,249","3,237",,"15,999"
10007140,Birmingham City University,"1,098","6,154","7,252",,"10,585",0,,"17,837"
10006840,The University of Birmingham,"4,518","17,621","22,139",,"16,864",511,,"39,514"
10000712,University College Birmingham,0,"3,358","3,358",,"2,794",213,,"6,365"
10000894,Bristol Baptist College,0,94,94,,36,0,,130
10007811,Bishop Grosseteste University,516,"3,099","3,615",,558,0,,"4,173"
10006841,The University of Bolton,641,"3,723","4,364",,"2,379",0,,"6,743"
10000385,The Arts University Bournemouth,334,"3,975","4,309",,"1,863",0,,"6,172"
10000824,Bournemouth University,"1,946","7,722","9,668",,"2,491",30,,"12,189"
10007785,The University of Bradford,63,"11,921","11,984",,"3,702",0,,"15,686"
10000886,The University of Brighton,574,"9,336","9,910",,"4,453",0,,"14,363"
10000936,The University College of Osteopathy,0,879,879,,224,76,,"1,179"
10007786,The University of Bristol,0,"23,079","23,079",,"25,078",534,,"48,691"
10000961,Brunel University London,901,"17,325","18,226",,"14,558",0,,"32,784"
10000975,Buckinghamshire New University,599,"7,911","8,510",,"4,788",0,,"13,298"
10007788,The University of Cambridge,"2,819","60,582","63,401",,"10,349",990,,"74,740"
10003324,The Institute of Cancer Research,287,"7,176","7,463",,"3,879",0,,"11,342"
10001143,Canterbury Christ Church University,"1,143","9,689","10,832",,"1,464",607,,"12,903"
10007814,Cardiff University,"1,552","21,445","22,997",,"7,656",319,,"30,972"
10007854,Cardiff Metropolitan University,979,"3,491","4,470",,"1,298",15,,"5,783"
10007141,The University of Central Lancashire,0,"15,701","15,701",,"6,347",149,,"22,197"
10007848,University of Chester,97,"6,231","6,328",,"4,327",302,,"10,957"
10007137,The University of Chichester,165,"3,078","3,243",,"1,647",-16,,"4,874"
10001386,Chicken Shed Theatre Company,0,0,0,,295,148,,443
10026921,Christ the Redeemer College,0,0,0,,0,0,,0
10001478,"City, University of London","1,392","14,634","16,026",,"9,253",0,,"25,279"
10001653,Conservatoire for Dance and Drama,0,472,472,,514,6,,992
10007761,Courtauld Institute of Art,0,"1,034","1,034",,"1,580",356,,"2,970"
10001726,Coventry University,"1,039","13,137","14,176",,"8,232",0,,"22,408"
10007822,Cranfield University,391,"5,127","5,518",,"4,611",0,,"10,129"
10006427,University for the Creative Arts,0,"4,252","4,252",,"1,206",137,,"5,595"
10007842,University of Cumbria,819,"8,296","9,115",,"2,602",130,,"11,847"
10001883,De Montfort University,287,"14,941","15,228",,"6,127",859,,"22,214"
10007851,University of Derby,954,"8,896","9,850",,"5,647",740,,"16,237"
10007852,The University of Dundee,254,"10,280","10,534",,"3,829","2,570",,"16,933"
10007143,University of Durham,"2,189","13,033","15,222",,"10,812",1,,"26,035"
10007789,The University of East Anglia,492,"14,555","15,047",,"15,329",0,,"30,376"
10007144,The University of East London,352,"12,519","12,871",,"10,667",529,,"24,067"
10007823,Edge Hill University,0,"5,063","5,063",,"3,279",0,,"8,342"
10007772,Edinburgh Napier University,268,"7,178","7,446",,"2,292",10,,"9,748"
10007790,The University of Edinburgh,284,"33,088","33,372",,"24,905","1,549",,"59,826"
10022047,Empire College London Limited,0,0,0,,0,0,,0
10007791,The University of Essex,"1,981",118,"2,099",,"2,659",6,,"4,764"
10008173,University College of Estate Management,0,0,0,,"1,289",214,,"1,503"
10007792,The University of Exeter,917,"29,868","30,785",,"9,252","3,096",,"43,133"
10008640,Falmouth University,0,"4,143","4,143",,"1,926",0,,"6,069"
10004511,The National Film and Television School,0,"1,638","1,638",,"1,323",89,,"3,050"
10042500,Global Banking School Limited,0,17,17,,0,0,,17
10007762,Glasgow Caledonian University,966,"10,067","11,033",,"3,532",545,,"15,110"
10002681,Glasgow School of Art,0,"3,443","3,443",,"2,092",0,,"5,535"
