UKPRN,HE Provider,Academic staff costs,Other staff costs,Total staff costs,Fundamental restructuring costs,Other operating expenses,Depreciation,Interest and other finance costs,Total expenditure
10007800,The University of the West of Scotland,,"2,587","2,587",,"2,399",0,0,"4,986"
10006566,The University of West London,,707,707,,"7,197",84,0,"7,988"
10007165,The University of Westminster,,"2,667","2,667",,"24,272","14,831",0,"41,770"
10003614,The University of Winchester,,"2,152","2,152",,"3,640","3,328",459,"9,579"
10007166,The University of Wolverhampton,,"8,359","8,359",,"7,479","9,462",2,"25,302"
10007139,University of Worcester,,"2,923","2,923",,"5,989","2,781",0,"11,693"
10007657,Writtle University College,,348,348,,"1,284",3,0,"1,635"
10007713,York St John University,,"2,164","2,164",,"3,422","1,714",676,"7,976"
10007167,The University of York,,"12,271","12,271",,"19,159","21,448",0,"52,878"
,Total,,"746,198","746,198",,"2,077,007","1,337,709","164,107","4,325,021"
